cod_ccaa;comunidad autonoma;cod_prov;provincia;Tipo de edificación;Tipo de dato;anio;valor
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Variación anual;2019;2,8
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Variación anual;2018;1,7
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Variación anual;2017;0,8
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Variación anual;2016;1,3
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Variación anual;2015;-0,9
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Variación anual;2014;-1,3
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Variación anual;2013;-2,8
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Variación anual;2012;-2,6
8;Castilla-La Mancha;2;Albacete;Vivienda colectiva;Variación anual;2011;0
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Índice;2023;114,915
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Índice;2022;112,319
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Índice;2021;109,634
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Índice;2020;107,274
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Índice;2019;106,801
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Índice;2018;104,993
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Índice;2017;102,586
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Índice;2016;101,82
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Índice;2015;100
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Índice;2014;98,747
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Índice;2013;98,763
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Índice;2012;99,515
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Índice;2011;100,341
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Variación anual;2023;2,3
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Variación anual;2022;2,4
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Variación anual;2021;2,2
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Variación anual;2020;0,4
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Variación anual;2019;1,7
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Variación anual;2018;2,3
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Variación anual;2017;0,8
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Variación anual;2016;1,8
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Variación anual;2015;1,3
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Variación anual;2014;0
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Variación anual;2013;-0,8
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Variación anual;2012;-0,8
10;Comunidad Valenciana;3;Alicante;Vivienda unifamiliar;Variación anual;2011;0
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Índice;2023;119,849
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Índice;2022;116,179
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Índice;2021;112,688
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Índice;2020;110,272
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Índice;2019;109,418
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Índice;2018;105,804
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Índice;2017;103,537
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Índice;2016;101,846
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Índice;2015;100
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Índice;2014;99,77
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Índice;2013;100,057
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Índice;2012;102,438
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Índice;2011;104,223
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Variación anual;2023;3,2
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Variación anual;2022;3,1
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Variación anual;2021;2,2
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Variación anual;2020;0,8
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Variación anual;2019;3,4
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Variación anual;2018;2,2
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Variación anual;2017;1,7
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Variación anual;2016;1,8
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Variación anual;2015;0,2
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Variación anual;2014;-0,3
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Variación anual;2013;-2,3
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Variación anual;2012;-1,7
10;Comunidad Valenciana;3;Alicante;Vivienda colectiva;Variación anual;2011;0
1;Andalucía;4;Almería;Vivienda unifamiliar;Índice;2023;114,181
1;Andalucía;4;Almería;Vivienda unifamiliar;Índice;2022;112,51
1;Andalucía;4;Almería;Vivienda unifamiliar;Índice;2021;110,321
1;Andalucía;4;Almería;Vivienda unifamiliar;Índice;2020;108,355
1;Andalucía;4;Almería;Vivienda unifamiliar;Índice;2019;107,319
1;Andalucía;4;Almería;Vivienda unifamiliar;Índice;2018;105,254
1;Andalucía;4;Almería;Vivienda unifamiliar;Índice;2017;103,579
1;Andalucía;4;Almería;Vivienda unifamiliar;Índice;2016;102,32
1;Andalucía;4;Almería;Vivienda unifamiliar;Índice;2015;100
1;Andalucía;4;Almería;Vivienda unifamiliar;Índice;2014;100,27
1;Andalucía;4;Almería;Vivienda unifamiliar;Índice;2013;100,584
1;Andalucía;4;Almería;Vivienda unifamiliar;Índice;2012;103,088
1;Andalucía;4;Almería;Vivienda unifamiliar;Índice;2011;105,792
1;Andalucía;4;Almería;Vivienda unifamiliar;Variación anual;2023;1,5
1;Andalucía;4;Almería;Vivienda unifamiliar;Variación anual;2022;2
1;Andalucía;4;Almería;Vivienda unifamiliar;Variación anual;2021;1,8
1;Andalucía;4;Almería;Vivienda unifamiliar;Variación anual;2020;1
1;Andalucía;4;Almería;Vivienda unifamiliar;Variación anual;2019;2
1;Andalucía;4;Almería;Vivienda unifamiliar;Variación anual;2018;1,6
1;Andalucía;4;Almería;Vivienda unifamiliar;Variación anual;2017;1,2
1;Andalucía;4;Almería;Vivienda unifamiliar;Variación anual;2016;2,3
1;Andalucía;4;Almería;Vivienda unifamiliar;Variación anual;2015;-0,3
1;Andalucía;4;Almería;Vivienda unifamiliar;Variación anual;2014;-0,3
1;Andalucía;4;Almería;Vivienda unifamiliar;Variación anual;2013;-2,4
1;Andalucía;4;Almería;Vivienda unifamiliar;Variación anual;2012;-2,6
1;Andalucía;4;Almería;Vivienda unifamiliar;Variación anual;2011;0
1;Andalucía;4;Almería;Vivienda colectiva;Índice;2023;118,055
1;Andalucía;4;Almería;Vivienda colectiva;Índice;2022;115,016
1;Andalucía;4;Almería;Vivienda colectiva;Índice;2021;111,993
1;Andalucía;4;Almería;Vivienda colectiva;Índice;2020;109,699
1;Andalucía;4;Almería;Vivienda colectiva;Índice;2019;107,893
1;Andalucía;4;Almería;Vivienda colectiva;Índice;2018;104,665
1;Andalucía;4;Almería;Vivienda colectiva;Índice;2017;102,685
1;Andalucía;4;Almería;Vivienda colectiva;Índice;2016;101,609
1;Andalucía;4;Almería;Vivienda colectiva;Índice;2015;100
1;Andalucía;4;Almería;Vivienda colectiva;Índice;2014;100,665
1;Andalucía;4;Almería;Vivienda colectiva;Índice;2013;101,869
1;Andalucía;4;Almería;Vivienda colectiva;Índice;2012;105,439
1;Andalucía;4;Almería;Vivienda colectiva;Índice;2011;108,816
1;Andalucía;4;Almería;Vivienda colectiva;Variación anual;2023;2,6
1;Andalucía;4;Almería;Vivienda colectiva;Variación anual;2022;2,7
1;Andalucía;4;Almería;Vivienda colectiva;Variación anual;2021;2,1
1;Andalucía;4;Almería;Vivienda colectiva;Variación anual;2020;1,7
1;Andalucía;4;Almería;Vivienda colectiva;Variación anual;2019;3,1
1;Andalucía;4;Almería;Vivienda colectiva;Variación anual;2018;1,9
1;Andalucía;4;Almería;Vivienda colectiva;Variación anual;2017;1,1
1;Andalucía;4;Almería;Vivienda colectiva;Variación anual;2016;1,6
1;Andalucía;4;Almería;Vivienda colectiva;Variación anual;2015;-0,7
1;Andalucía;4;Almería;Vivienda colectiva;Variación anual;2014;-1,2
1;Andalucía;4;Almería;Vivienda colectiva;Variación anual;2013;-3,4
1;Andalucía;4;Almería;Vivienda colectiva;Variación anual;2012;-3,1
1;Andalucía;4;Almería;Vivienda colectiva;Variación anual;2011;0
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Índice;2023;116,64
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Índice;2022;113,764
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Índice;2021;112,072
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Índice;2020;109,807
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Índice;2019;107,214
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Índice;2018;106,218
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Índice;2017;103,278
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Índice;2016;103,685
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Índice;2015;100
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Índice;2014;102,575
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Índice;2013;101,927
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Índice;2012;104,69
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Índice;2011;104,514
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Variación anual;2023;2,5
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Variación anual;2022;1,5
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Variación anual;2021;2,1
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Variación anual;2020;2,4
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Variación anual;2019;0,9
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Variación anual;2018;2,8
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Variación anual;2017;-0,4
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Variación anual;2016;3,7
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Variación anual;2015;-2,5
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Variación anual;2014;0,6
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Variación anual;2013;-2,6
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Variación anual;2012;0,2
7;Castilla y León;5;Ávila;Vivienda unifamiliar;Variación anual;2011;0
7;Castilla y León;5;Ávila;Vivienda colectiva;Índice;2023;118,116
7;Castilla y León;5;Ávila;Vivienda colectiva;Índice;2022;114,655
7;Castilla y León;5;Ávila;Vivienda colectiva;Índice;2021;111,236
7;Castilla y León;5;Ávila;Vivienda colectiva;Índice;2020;108,816
7;Castilla y León;5;Ávila;Vivienda colectiva;Índice;2019;107,82
7;Castilla y León;5;Ávila;Vivienda colectiva;Índice;2018;104,361
7;Castilla y León;5;Ávila;Vivienda colectiva;Índice;2017;102,018
7;Castilla y León;5;Ávila;Vivienda colectiva;Índice;2016;101,062
7;Castilla y León;5;Ávila;Vivienda colectiva;Índice;2015;100
7;Castilla y León;5;Ávila;Vivienda colectiva;Índice;2014;100,986
7;Castilla y León;5;Ávila;Vivienda colectiva;Índice;2013;102,729
7;Castilla y León;5;Ávila;Vivienda colectiva;Índice;2012;106,554
7;Castilla y León;5;Ávila;Vivienda colectiva;Índice;2011;109,337
7;Castilla y León;5;Ávila;Vivienda colectiva;Variación anual;2023;3
7;Castilla y León;5;Ávila;Vivienda colectiva;Variación anual;2022;3,1
7;Castilla y León;5;Ávila;Vivienda colectiva;Variación anual;2021;2,2
7;Castilla y León;5;Ávila;Vivienda colectiva;Variación anual;2020;0,9
7;Castilla y León;5;Ávila;Vivienda colectiva;Variación anual;2019;3,3
7;Castilla y León;5;Ávila;Vivienda colectiva;Variación anual;2018;2,3
7;Castilla y León;5;Ávila;Vivienda colectiva;Variación anual;2017;0,9
7;Castilla y León;5;Ávila;Vivienda colectiva;Variación anual;2016;1,1
7;Castilla y León;5;Ávila;Vivienda colectiva;Variación anual;2015;-1
7;Castilla y León;5;Ávila;Vivienda colectiva;Variación anual;2014;-1,7
7;Castilla y León;5;Ávila;Vivienda colectiva;Variación anual;2013;-3,6
7;Castilla y León;5;Ávila;Vivienda colectiva;Variación anual;2012;-2,5
7;Castilla y León;5;Ávila;Vivienda colectiva;Variación anual;2011;0
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Índice;2023;108,838
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Índice;2022;107,702
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Índice;2021;106,195
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Índice;2020;105,234
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Índice;2019;104,048
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Índice;2018;102,862
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Índice;2017;102,257
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Índice;2016;100,72
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Índice;2015;100
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Índice;2014;99,389
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Índice;2013;100,409
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Índice;2012;101,715
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Índice;2011;102,173
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Variación anual;2023;1,1
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Variación anual;2022;1,4
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Variación anual;2021;0,9
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Variación anual;2020;1,1
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Variación anual;2019;1,2
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Variación anual;2018;0,6
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Variación anual;2017;1,5
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Variación anual;2016;0,7
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Variación anual;2015;0,6
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Variación anual;2014;-1
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Variación anual;2013;-1,3
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Variación anual;2012;-0,4
11;Extremadura;6;Badajoz;Vivienda unifamiliar;Variación anual;2011;0
11;Extremadura;6;Badajoz;Vivienda colectiva;Índice;2023;115,347
11;Extremadura;6;Badajoz;Vivienda colectiva;Índice;2022;112,709
11;Extremadura;6;Badajoz;Vivienda colectiva;Índice;2021;109,886
11;Extremadura;6;Badajoz;Vivienda colectiva;Índice;2020;107,971
11;Extremadura;6;Badajoz;Vivienda colectiva;Índice;2019;106,893
11;Extremadura;6;Badajoz;Vivienda colectiva;Índice;2018;104,174
11;Extremadura;6;Badajoz;Vivienda colectiva;Índice;2017;102,795
11;Extremadura;6;Badajoz;Vivienda colectiva;Índice;2016;101,997
11;Extremadura;6;Badajoz;Vivienda colectiva;Índice;2015;100
11;Extremadura;6;Badajoz;Vivienda colectiva;Índice;2014;100,413
11;Extremadura;6;Badajoz;Vivienda colectiva;Índice;2013;100,981
11;Extremadura;6;Badajoz;Vivienda colectiva;Índice;2012;102,903
11;Extremadura;6;Badajoz;Vivienda colectiva;Índice;2011;103,846
11;Extremadura;6;Badajoz;Vivienda colectiva;Variación anual;2023;2,3
11;Extremadura;6;Badajoz;Vivienda colectiva;Variación anual;2022;2,6
11;Extremadura;6;Badajoz;Vivienda colectiva;Variación anual;2021;1,8
11;Extremadura;6;Badajoz;Vivienda colectiva;Variación anual;2020;1
11;Extremadura;6;Badajoz;Vivienda colectiva;Variación anual;2019;2,6
11;Extremadura;6;Badajoz;Vivienda colectiva;Variación anual;2018;1,3
11;Extremadura;6;Badajoz;Vivienda colectiva;Variación anual;2017;0,8
11;Extremadura;6;Badajoz;Vivienda colectiva;Variación anual;2016;2
11;Extremadura;6;Badajoz;Vivienda colectiva;Variación anual;2015;-0,4
11;Extremadura;6;Badajoz;Vivienda colectiva;Variación anual;2014;-0,6
11;Extremadura;6;Badajoz;Vivienda colectiva;Variación anual;2013;-1,9
11;Extremadura;6;Badajoz;Vivienda colectiva;Variación anual;2012;-0,9
11;Extremadura;6;Badajoz;Vivienda colectiva;Variación anual;2011;0
4;Balears;7;Balears;Vivienda unifamiliar;Índice;2023;119,506
4;Balears;7;Balears;Vivienda unifamiliar;Índice;2022;116,144
4;Balears;7;Balears;Vivienda unifamiliar;Índice;2021;112,338
4;Balears;7;Balears;Vivienda unifamiliar;Índice;2020;109,452
4;Balears;7;Balears;Vivienda unifamiliar;Índice;2019;109,533
4;Balears;7;Balears;Vivienda unifamiliar;Índice;2018;107,725
4;Balears;7;Balears;Vivienda unifamiliar;Índice;2017;104,642
4;Balears;7;Balears;Vivienda unifamiliar;Índice;2016;102,192
4;Balears;7;Balears;Vivienda unifamiliar;Índice;2015;100
4;Balears;7;Balears;Vivienda unifamiliar;Índice;2014;98,474
4;Balears;7;Balears;Vivienda unifamiliar;Índice;2013;97,82
4;Balears;7;Balears;Vivienda unifamiliar;Índice;2012;98,263
4;Balears;7;Balears;Vivienda unifamiliar;Índice;2011;98,718
4;Balears;7;Balears;Vivienda unifamiliar;Variación anual;2023;2,9
4;Balears;7;Balears;Vivienda unifamiliar;Variación anual;2022;3,4
4;Balears;7;Balears;Vivienda unifamiliar;Variación anual;2021;2,6
4;Balears;7;Balears;Vivienda unifamiliar;Variación anual;2020;-0,1
4;Balears;7;Balears;Vivienda unifamiliar;Variación anual;2019;1,7
4;Balears;7;Balears;Vivienda unifamiliar;Variación anual;2018;2,9
4;Balears;7;Balears;Vivienda unifamiliar;Variación anual;2017;2,4
4;Balears;7;Balears;Vivienda unifamiliar;Variación anual;2016;2,2
4;Balears;7;Balears;Vivienda unifamiliar;Variación anual;2015;1,5
4;Balears;7;Balears;Vivienda unifamiliar;Variación anual;2014;0,7
4;Balears;7;Balears;Vivienda unifamiliar;Variación anual;2013;-0,5
4;Balears;7;Balears;Vivienda unifamiliar;Variación anual;2012;-0,5
4;Balears;7;Balears;Vivienda unifamiliar;Variación anual;2011;0
4;Balears;7;Balears;Vivienda colectiva;Índice;2023;125,109
4;Balears;7;Balears;Vivienda colectiva;Índice;2022;121,051
4;Balears;7;Balears;Vivienda colectiva;Índice;2021;116,655
4;Balears;7;Balears;Vivienda colectiva;Índice;2020;114,293
4;Balears;7;Balears;Vivienda colectiva;Índice;2019;114,538
4;Balears;7;Balears;Vivienda colectiva;Índice;2018;109,628
4;Balears;7;Balears;Vivienda colectiva;Índice;2017;105,112
4;Balears;7;Balears;Vivienda colectiva;Índice;2016;102,16
4;Balears;7;Balears;Vivienda colectiva;Índice;2015;100
4;Balears;7;Balears;Vivienda colectiva;Índice;2014;98,844
4;Balears;7;Balears;Vivienda colectiva;Índice;2013;98,311
4;Balears;7;Balears;Vivienda colectiva;Índice;2012;99,393
4;Balears;7;Balears;Vivienda colectiva;Índice;2011;100,402
4;Balears;7;Balears;Vivienda colectiva;Variación anual;2023;3,4
4;Balears;7;Balears;Vivienda colectiva;Variación anual;2022;3,8
4;Balears;7;Balears;Vivienda colectiva;Variación anual;2021;2,1
4;Balears;7;Balears;Vivienda colectiva;Variación anual;2020;-0,2
4;Balears;7;Balears;Vivienda colectiva;Variación anual;2019;4,5
4;Balears;7;Balears;Vivienda colectiva;Variación anual;2018;4,3
4;Balears;7;Balears;Vivienda colectiva;Variación anual;2017;2,9
4;Balears;7;Balears;Vivienda colectiva;Variación anual;2016;2,2
4;Balears;7;Balears;Vivienda colectiva;Variación anual;2015;1,2
4;Balears;7;Balears;Vivienda colectiva;Variación anual;2014;0,5
4;Balears;7;Balears;Vivienda colectiva;Variación anual;2013;-1,1
4;Balears;7;Balears;Vivienda colectiva;Variación anual;2012;-1
4;Balears;7;Balears;Vivienda colectiva;Variación anual;2011;0
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Índice;2023;114,455
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Índice;2022;112,128
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Índice;2021;109,388
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Índice;2020;107,437
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Índice;2019;106,423
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Índice;2018;105,299
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Índice;2017;103,304
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Índice;2016;101,924
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Índice;2015;100
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Índice;2014;98,931
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Índice;2013;98,689
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Índice;2012;99,978
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Índice;2011;101,298
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Variación anual;2023;2,1
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Variación anual;2022;2,5
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Variación anual;2021;1,8
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Variación anual;2020;1
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Variación anual;2019;1,1
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Variación anual;2018;1,9
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Variación anual;2017;1,4
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Variación anual;2016;1,9
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Variación anual;2015;1,1
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Variación anual;2014;0,2
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Variación anual;2013;-1,3
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Variación anual;2012;-1,3
9;Cataluña;8;Barcelona;Vivienda unifamiliar;Variación anual;2011;0
9;Cataluña;8;Barcelona;Vivienda colectiva;Índice;2023;121,049
9;Cataluña;8;Barcelona;Vivienda colectiva;Índice;2022;117,853
9;Cataluña;8;Barcelona;Vivienda colectiva;Índice;2021;114,918
9;Cataluña;8;Barcelona;Vivienda colectiva;Índice;2020;113,632
9;Cataluña;8;Barcelona;Vivienda colectiva;Índice;2019;112,448
9;Cataluña;8;Barcelona;Vivienda colectiva;Índice;2018;108,053
9;Cataluña;8;Barcelona;Vivienda colectiva;Índice;2017;104,225
9;Cataluña;8;Barcelona;Vivienda colectiva;Índice;2016;101,788
9;Cataluña;8;Barcelona;Vivienda colectiva;Índice;2015;100
9;Cataluña;8;Barcelona;Vivienda colectiva;Índice;2014;99,404
9;Cataluña;8;Barcelona;Vivienda colectiva;Índice;2013;100,224
9;Cataluña;8;Barcelona;Vivienda colectiva;Índice;2012;103,024
9;Cataluña;8;Barcelona;Vivienda colectiva;Índice;2011;104,815
9;Cataluña;8;Barcelona;Vivienda colectiva;Variación anual;2023;2,7
9;Cataluña;8;Barcelona;Vivienda colectiva;Variación anual;2022;2,6
9;Cataluña;8;Barcelona;Vivienda colectiva;Variación anual;2021;1,1
